MSA,LAT,LON,Provider,Market Size,Number of Companies,Market Share,Defend $,Product,Exclusion,Included_In_Ranking,Provider_Ratio,Benchmark,Competitor_Ratio,Provider_Opportunity_Rank,Overall_Opportunity_Rank,Opportunity_Score,Opportunity_Category,Firm ID,Total_Weight,Number_of_Occurrences,Weighted_Average_Score
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Bridge Bank,1294529972,7674,0.005,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,9.0,300.0,inf,Good,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CIBC,1294529972,7674,0.003,3822168,Credit_Cash_Management,False,True,0.984184243,0.107766667,9.13254784,29.0,701.0,0.109498468,Poor,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CIT,1294529972,7674,0.002,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,14.0,362.0,inf,Good,639.0,9.03,1.0,5.0
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CTBC Bank,1294529972,7674,0.004,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,12.0,317.0,inf,Good,781.0,13.08,1.0,4.0
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Capital One,1294529972,7674,0.0,0,Credit_Cash_Management,True,False,,,,,,,,4859.0,323.52,42.0,4.247990850642928
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Cass Commercial Bank,1294529972,7674,0.001,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,15.0,396.0,inf,Good,,,,
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Cathay United Bank,1294529972,7674,0.011,528793,Credit_Cash_Management,True,False,,,,,,,,5244.0,32.9,3.0,3.409726443768997
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Charles Schwab,1294529972,7674,0.002,0,Credit_Cash_Management,True,False,,,,,,,,762.0,78.92,6.0,4.165737455651292
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Citi,1294529972,7674,0.016,4978459,Credit_Cash_Management,True,False,,,,,,,,804.0,531.6,77.0,4.513581640331076
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Citizens Bank,1294529972,7674,0.01,12491666,Credit_Cash_Management,False,True,0.96495765,0.107766667,8.954138385,28.0,699.0,0.111680204,Poor,4841.0,46.23,7.0,4.1951113995241185
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Citizens Business Bank (CA),1294529972,7674,0.024,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,2.0,129.0,inf,Excellent,812.0,134.85,15.0,4.436633296255098
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,City National Bank (CA),1294529972,7674,0.056,13101637,Credit_Cash_Management,False,True,0.180727993,0.107766667,1.677030549,23.0,598.0,0.596292059,Fair,820.0,181.09,20.0,4.329283781545088
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,CoBiz Bank NA,1294529972,7674,0.04,0,Credit_Cash_Management,False,True,0.0,0.107766667,0.0,1.0,77.0,inf,Excellent,836.0,86.15,8.0,4.638537434706906
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,Comerica Bank,1294529972,7674,0.039,10037681,Credit_Cash_Management,False,True,0.198818445,0.107766667,1.844897409,24.0,607.0,0.54203556,Fair,868.0,53.16,6.0,3.1819036869826935
CA-Los Angeles-Long Beach-Anaheim,34.108703,-118.182753,DLL,1294529972,7674,0.002,0,Credit_Cash_Management,True,False,,,,,,,,6034.0,13.08,1.0,5.0
